id,followers,genres,name,popularity
5X5wnQz0yXHtPRby0vceq1,74.0,[],Troy,21.0
0O8Xm6MBPIWbQ5kwKD2dJq,0.0,[],Auntie Deanna,0.0
6giksN1pZ5icUA9CQzq3LT,25.0,[],Fort Dax,4.0
4qQDMZaMko7Fq2gbq2PpRx,948.0,[],Cristian Vinci,18.0
6mlRoShVf1DHo0SsntzTkr,18894.0,['russian indie'],Элли на маковом поле,40.0
2kpONW6Hh3BPXwt7iWg6sN,268.0,[],La Fania de Cristo,14.0
2UMBxgeruRK9rpr2kkNze0,610.0,['viet lo-fi'],Deus Tiến Đạt,39.0
4EwKzQmVlVlwloI1eR7ooc,15.0,[],Mar Blau,0.0
2Otnu8NoCqZGTxu5m2foNY,36.0,[],All Pain No Gain,0.0
1ujEEFZw051H4StA7eUzz8,5711.0,['adoracion'],Natanael y Giovanna,27.0
5r7mCbAqyhyh0jUxpnKuTN,174.0,[],ニール・セダカ,3.0
0fGxeQ4VRVRUm0SHcHU6bf,194.0,['electronica argentina'],joa wav,9.0
6j6GDqTcjcHjA5fg4HmCLT,7.0,[],Patrick Herek,0.0
1JjFyDh7QnSi8gZC9Qgc6a,11.0,[],Norfolk Jazz Quartet,0.0
1FOw6qIycSqShZV57QtDIX,1321.0,['deep talent show'],Raquel Castro,37.0
4bCbYy7VRfO0c0g24o5ulE,12.0,[],Sista Lin,1.0
5BGtCfER5V0RJOqC2oDRm2,51.0,[],Linsey Wallace,0.0
06aAWZsf4TjAdqCChhdbIk,3.0,[],K.L.,0.0
18Y48ERd4W0cIoUOofiBFv,20.0,[],Members Only Crew,0.0
44AD4IMmRp0oSa2VgJavoC,21.0,[],Николай Михайлов,11.0
2M0dqpMayOasJXZCSzkPWB,22.0,[],Marja Herronen,0.0
6Dptb8FM2KGLkrZLsTxLIA,1.0,[],RICO,18.0
7GWniL0LcVnR9Ptiaa5J17,4197.0,"['instrumental death metal', 'progressive technical death metal', 'technical death metal']",Vipassi,14.0
0eGta69XllJzaFMxg8HxeH,8.0,[],Freddy Rich,0.0
2M9EaEKJ2yiZkJFC1g85Ad,670.0,[],Ritmo Caliente,2.0
5LfCYotQfj9CyjilU9RC1v,0.0,[],The Yoon,0.0
0eLbmh14uMx3VB0MPM1r4L,13641.0,"['alternative pop', 'alternative rock', 'athens indie', 'dance-punk', 'funk rock', 'gbvfi', 'no wave', 'post-punk']",Pylon,31.0
2Eqn3x9VdAK7BQSJjKESQl,82.0,[],Chris Gonzalez el Traficante,12.0
2U5vKn5SrZP4faqBQdwMml,871.0,[],TIP,25.0
0lxTa6rCgZALBLPF0aj4t1,0.0,[],Lilianne Harvey,0.0
5HPu6u2rDA0f6jp51xZAEq,18264.0,[],Erika Ender,46.0
0fVETCCXKBU9YQ0Y5loQXC,0.0,[],Gary Farrar,0.0
0FwQCDim58OUiXj9jcfsPm,0.0,[],若林潤,0.0
1JsDJYMsMUnoEb4hGaviIM,514.0,[],Mohammad Owais Raza Qadri,0.0
12btqMALuDP0zX2CvQNAKk,891.0,"['scratch', 'turntablism']",DJ T-Rock,25.0
3WQSSaMUPgN7W4tmVr6N9f,1197.0,"['classical guitar', 'classical guitar duo']",Amadeus Guitar Duo,10.0
2bNOTBdQ4elcHAdFZdwZAt,20.0,[],When in Motion,0.0
5jvIkvWRsO9VQPA1heHpDe,12.0,[],G.M.C.,0.0
2dKlFUyR1zTC4BxLFw5P3O,1.0,[],Adam-m,0.0
2nmOZ5lLam4rESZdkHl0IP,170.0,[],LUHICA,11.0
629Hq4ALLZV2JwkMX6C2Ff,354.0,"['bansuri', 'hindustani instrumental', 'indian classical']",Rupak Kulkarni,25.0
4bFjvYWJPTKHsNokrk0KoP,36.0,[],Lizemijn Libgott,10.0
1JAmYGINEzPxYvQ1t7yjiz,372.0,[],Jack Fender,13.0
7ufX3Qr43ftrX9ZZZ6DMjJ,84.0,['merseybeat'],Kingsize Taylor,3.0
5pNnFoWipC0Xgw0AyXa6wQ,20.0,[],LimboBoys,1.0
0Zp5VUA27KgIcDbcLh9hem,295.0,[],Clout Cohen,4.0
37tCmM8u4CMiecfdXkaN9K,44.0,[],Gus Jenkins,2.0
5x6RQ6uJGYsT5lW4ObXBi8,44.0,['dutch contemporary classical'],Robert Zuidam,3.0
7D70oePcjlAevRKLlQ6152,12.0,[],Lorenzo Cipriani,0.0
3eM9h0saHEh5vNXim4BuFt,1132.0,['greek swing'],Nicos Lavranos,19.0
1DnZRscpTt1WFRyL2Gzse5,68.0,['belgian dance'],Global Trance Mission,6.0
0S14kz0JUyCviuCJQT00v0,5.0,[],Hans Heintze,0.0
5dE4aLqvytBeIoyUYDX39h,8.0,[],我歴Monster,1.0
1Wgw0YoYsjBpsxf2yODnuW,253.0,[],V I F,10.0
4Ci4TaFPTXUbgbEYFNv1vh,12.0,[],GMS & Chordz Cordero,0.0
12Fi4E2JzvvzIMA4wmKOzd,41.0,[],Unser Star Für Oslo / Jennifer Braun,0.0
5XgXnli5sYjAoJpYcP45C4,5651.0,[],Massiahg,37.0
0EP90EIT2a1fvd64zi7fH4,12.0,[],El Jefe vs. Demons,0.0
71eX7X0sK5YeXUnGYxbtQJ,108.0,[],Dylan Taylor,0.0
3YZk696FUdIQzppLwVu6u1,140.0,[],Lucass P,14.0
4vnfYXUPjGNIGEAmsozAKa,2.0,[],Unitard,0.0
4XWYS9Yqbrx0KziFuR6HJg,36.0,[],Rodney & The Blazers,0.0
1oBhtdvTAudbJlnFOHhhxJ,0.0,[],Deborah Bohnam,0.0
5uF5h1rtxw3cbBnUIXJA3p,807.0,[],Ra Ra Rasputin,6.0
1mUcPadFvrvWjPM7BVoHn1,16.0,[],Me Vs Murphy,0.0
59iNyvPKBsfdNhbDerVG4X,2.0,[],Da Ka$hmere,0.0
4gh723lulrgcpyGXxbLEVm,859.0,['bergen indie'],Bloody Beach,5.0
08frREur3ZIBObjeEPtZOL,0.0,[],Lévyne,0.0
375boQza5izvxW36cOiy8a,2.0,[],Libra & Taylor,0.0
09106ZeZQflw20vaf3HuJL,4218.0,['new age piano'],Doug Hammer,33.0
6OKVXXgksbLP6Nh14sJkc3,30.0,[],Arni Klein,1.0
6VyE0DpIbQFZlbLCHUdePH,16.0,[],Astrid Alvarsson,42.0
5Awoco4ZFfrWlj41BpzJkW,19.0,[],詹長江,12.0
3DpmW7lNHXehsNnaiGxuKV,40.0,[],Arturo Colautti,8.0
3bsqAXxAGLR8bgsaZoK9tW,254.0,[],Diego Ferrari,5.0
09o9Z3yPGbaKvPP8iOANsQ,6.0,[],Clough,0.0
6EPtZJUSUo3nE4pgqLY3cw,11.0,[],Danubia Orchestra,0.0
